iter	Passed	Remaining
867	1125	171
868	1126	169
869	1127	168
870	1128	167
871	1129	165
872	1130	164
873	1131	163
874	1132	161
875	1133	160
876	1134	159
877	1135	157
878	1136	156
879	1136	155
880	1137	153
881	1138	152
882	1139	150
883	1140	149
884	1141	148
885	1142	147
886	1143	145
887	1144	144
888	1145	143
889	1146	141
890	1147	140
891	1148	139
892	1149	137
893	1150	136
894	1151	135
895	1152	133
896	1153	132
897	1154	131
898	1155	129
899	1156	128
900	1157	127
901	1158	125
902	1159	124
903	1160	123
904	1161	121
905	1162	120
906	1163	119
907	1164	117
908	1165	116
909	1166	115
910	1167	114
911	1168	112
912	1169	111
913	1170	110
914	1171	108
915	1172	107
916	1173	106
917	1174	104
918	1175	103
919	1176	102
920	1177	101
921	1178	99
922	1180	98
923	1180	97
924	1181	95
925	1182	94
926	1183	93
927	1185	91
928	1186	90
929	1187	89
930	1187	88
931	1188	86
932	1190	85
933	1191	84
934	1191	82
935	1192	81
936	1193	80
937	1194	78
938	1195	77
939	1196	76
940	1197	75
941	1198	73
942	1199	72
943	1200	71
944	1201	69
945	1202	68
946	1203	67
947	1204	66
948	1205	64
949	1206	63
950	1208	62
951	1209	60
952	1210	59
953	1211	58
954	1212	57
955	1213	55
956	1214	54
957	1215	53
958	1216	51
959	1217	50
960	1218	49
961	1219	48
962	1220	46
963	1221	45
964	1222	44
965	1223	43
966	1224	41
967	1225	40
968	1227	39
969	1228	37
970	1229	36
971	1230	35
972	1231	34
973	1232	32
974	1233	31
975	1234	30
976	1236	29
977	1237	27
978	1239	26
979	1240	25
980	1241	24
981	1242	22
982	1243	21
983	1244	20
984	1245	18
985	1246	17
986	1247	16
987	1248	15
988	1249	13
989	1250	12
990	1251	11
991	1252	10
992	1253	8
993	1254	7
994	1255	6
995	1256	5
996	1257	3
997	1258	2
998	1259	1
999	1260	0
